"","seqid","start","end","strand","type","ID","Alias","Name"
"57","chr1",16858958,16858979,"-","miRNA","MIMAT0018099",MIMAT0018099,"hsa-miR-3675-3p"
"58","chr1",17277889,17277975,"+","miRNA_primary_transcript","MI0016990",MI0016990,"hsa-mir-3972"
"59","chr1",17277948,17277969,"+","miRNA","MIMAT0019357",MIMAT0019357,"hsa-miR-3972"
"60","chr1",18883202,18883275,"-","miRNA_primary_transcript","MI0017328",MI0017328,"hsa-mir-4695"
"61","chr1",18883250,18883271,"-","miRNA","MIMAT0019788",MIMAT0019788,"hsa-miR-4695-5p"
"62","chr1",18883204,18883225,"-","miRNA","MIMAT0019789",MIMAT0019789,"hsa-miR-4695-3p"
"63","chr1",18897071,18897148,"-","miRNA_primary_transcript","MI0006352",MI0006352,"hsa-mir-1290"
"64","chr1",18897078,18897096,"-","miRNA","MIMAT0005880",MIMAT0005880,"hsa-miR-1290"
"65","chr1",20633679,20633788,"+","miRNA_primary_transcript","MI0020361",MI0020361,"hsa-mir-6084"
"66","chr1",20633756,20633775,"+","miRNA","MIMAT0023709",MIMAT0023709,"hsa-miR-6084"
"67","chr1",20988314,20988432,"-","miRNA_primary_transcript","MI0006390",MI0006390,"hsa-mir-1256"
"68","chr1",20988377,20988398,"-","miRNA","MIMAT0005907",MIMAT0005907,"hsa-miR-1256"
"69","chr1",22266239,22266300,"+","miRNA_primary_transcript","MI0016754",MI0016754,"hsa-mir-4418"
"70","chr1",22266277,22266294,"+","miRNA","MIMAT0018930",MIMAT0018930,"hsa-miR-4418"
"71","chr1",22633258,22633366,"-","miRNA_primary_transcript","MI0021271",MI0021271,"hsa-mir-6127"
"72","chr1",22633328,22633346,"-","miRNA","MIMAT0024610",MIMAT0024610,"hsa-miR-6127"
"73","chr1",22719517,22719598,"+","miRNA_primary_transcript","MI0017316",MI0017316,"hsa-mir-4684"
"74","chr1",22719530,22719551,"+","miRNA","MIMAT0019769",MIMAT0019769,"hsa-miR-4684-5p"
"75","chr1",22719566,22719587,"+","miRNA","MIMAT0019770",MIMAT0019770,"hsa-miR-4684-3p"
"76","chr1",22863159,22863226,"-","miRNA_primary_transcript","MI0015860",MI0015860,"hsa-mir-4253"
"77","chr1",22863169,22863186,"-","miRNA","MIMAT0016882",MIMAT0016882,"hsa-miR-4253"
"78","chr1",23044305,23044372,"+","miRNA_primary_transcript","MI0014127",MI0014127,"hsa-mir-3115"
"79","chr1",23044310,23044329,"+","miRNA","MIMAT0014977",MIMAT0014977,"hsa-miR-3115"
"80","chr1",23929070,23929147,"+","miRNA_primary_transcript","MI0016756",MI0016756,"hsa-mir-378f"
"81","chr1",23929121,23929140,"+","miRNA","MIMAT0018932",MIMAT0018932,"hsa-miR-378f"
"82","chr1",24919345,24919416,"-","miRNA_primary_transcript","MI0022576",MI0022576,"hsa-mir-6731"
"83","chr1",24919390,24919411,"-","miRNA","MIMAT0027363",MIMAT0027363,"hsa-miR-6731-5p"
"84","chr1",24919345,24919365,"-","miRNA","MIMAT0027364",MIMAT0027364,"hsa-miR-6731-3p"
"85","chr1",25023503,25023586,"+","miRNA_primary_transcript","MI0016764",MI0016764,"hsa-mir-4425"
"86","chr1",25023552,25023573,"+","miRNA","MIMAT0018940",MIMAT0018940,"hsa-miR-4425"
"87","chr1",25906362,25906454,"-","miRNA_primary_transcript","MI0016423",MI0016423,"hsa-mir-3917"
"88","chr1",25906384,25906403,"-","miRNA","MIMAT0018191",MIMAT0018191,"hsa-miR-3917"
"89","chr1",26554542,26554593,"+","miRNA_primary_transcript","MI0009986",MI0009986,"hsa-mir-1976"
"90","chr1",26554574,26554593,"+","miRNA","MIMAT0009451",MIMAT0009451,"hsa-miR-1976"
"91","chr1",30739156,30739232,"-","miRNA_primary_transcript","MI0016757",MI0016757,"hsa-mir-4420"
"92","chr1",30739158,30739179,"-","miRNA","MIMAT0018933",MIMAT0018933,"hsa-miR-4420"
"93","chr1",31758660,31758735,"-","miRNA_primary_transcript","MI0015862",MI0015862,"hsa-mir-4254"
"94","chr1",31758670,31758692,"-","miRNA","MIMAT0016884",MIMAT0016884,"hsa-miR-4254"
"95","chr1",32086949,32087007,"+","miRNA_primary_transcript","MI0019142",MI0019142,"hsa-mir-5585"
"96","chr1",32086949,32086970,"+","miRNA","MIMAT0022285",MIMAT0022285,"hsa-miR-5585-5p"
"97","chr1",32086986,32087007,"+","miRNA","MIMAT0022286",MIMAT0022286,"hsa-miR-5585-3p"
"98","chr1",33332393,33332492,"-","miRNA_primary_transcript","MI0015995",MI0015995,"hsa-mir-3605"
"99","chr1",33332449,33332471,"-","miRNA","MIMAT0017981",MIMAT0017981,"hsa-miR-3605-5p"
"100","chr1",33332405,33332427,"-","miRNA","MIMAT0017982",MIMAT0017982,"hsa-miR-3605-3p"
"101","chr1",34669599,34669694,"-","miRNA_primary_transcript","MI0003557",MI0003557,"hsa-mir-552"
"102","chr1",34669614,34669634,"-","miRNA","MIMAT0003215",MIMAT0003215,"hsa-miR-552-3p"
"103","chr1",34669650,34669670,"-","miRNA","MIMAT0026615",MIMAT0026615,"hsa-miR-552-5p"
"104","chr1",37161563,37161634,"+","miRNA_primary_transcript","MI0015863",MI0015863,"hsa-mir-4255"
"105","chr1",37161573,37161589,"+","miRNA","MIMAT0016885",MIMAT0016885,"hsa-miR-4255"
"106","chr1",37480230,37480289,"+","miRNA_primary_transcript","MI0022577",MI0022577,"hsa-mir-6732"
"107","chr1",37480235,37480254,"+","miRNA","MIMAT0027365",MIMAT0027365,"hsa-miR-6732-5p"
"108","chr1",37480267,37480289,"+","miRNA","MIMAT0027366",MIMAT0027366,"hsa-miR-6732-3p"
"109","chr1",37500935,37500994,"-","miRNA_primary_transcript","MI0019136",MI0019136,"hsa-mir-5581"
"110","chr1",37500973,37500994,"-","miRNA","MIMAT0022275",MIMAT0022275,"hsa-miR-5581-5p"
"111","chr1",37500935,37500956,"-","miRNA","MIMAT0022276",MIMAT0022276,"hsa-miR-5581-3p"
"112","chr1",38089231,38089329,"+","miRNA_primary_transcript","MI0016060",MI0016060,"hsa-mir-3659"
"113","chr1",38089289,38089309,"+","miRNA","MIMAT0018080",MIMAT0018080,"hsa-miR-3659"
"114","chr1",40754355,40754446,"+","miRNA_primary_transcript","MI0000749",MI0000749,"hsa-mir-30e"
"115","chr1",40754371,40754392,"+","miRNA","MIMAT0000692",MIMAT0000692,"hsa-miR-30e-5p"
"116","chr1",40754413,40754434,"+","miRNA","MIMAT0000693",MIMAT0000693,"hsa-miR-30e-3p"
"117","chr1",40757284,40757372,"+","miRNA_primary_transcript","MI0000736",MI0000736,"hsa-mir-30c-1"
"118","chr1",40757300,40757322,"+","miRNA","MIMAT0000244",MIMAT0000244,"hsa-miR-30c-5p"
"119","chr1",40757339,40757360,"+","miRNA","MIMAT0004674",MIMAT0004674,"hsa-miR-30c-1-3p"
"120","chr1",43171652,43171712,"-","miRNA_primary_transcript","MI0022578",MI0022578,"hsa-mir-6733"
"121","chr1",43171686,43171707,"-","miRNA","MIMAT0027367",MIMAT0027367,"hsa-miR-6733-5p"
"122","chr1",43171652,43171671,"-","miRNA","MIMAT0027368",MIMAT0027368,"hsa-miR-6733-3p"
"123","chr1",43364648,43364715,"-","miRNA_primary_transcript","MI0022579",MI0022579,"hsa-mir-6734"
"124","chr1",43364688,43364710,"-","miRNA","MIMAT0027369",MIMAT0027369,"hsa-miR-6734-5p"
"125","chr1",43364648,43364670,"-","miRNA","MIMAT0027370",MIMAT0027370,"hsa-miR-6734-3p"
"126","chr1",43448539,43448611,"+","miRNA_primary_transcript","MI0022580",MI0022580,"hsa-mir-6735"
"127","chr1",43448544,43448568,"+","miRNA","MIMAT0027371",MIMAT0027371,"hsa-miR-6735-5p"
"128","chr1",43448590,43448611,"+","miRNA","MIMAT0027372",MIMAT0027372,"hsa-miR-6735-3p"
"129","chr1",43838622,43838683,"+","miRNA_primary_transcript","MI0020356",MI0020356,"hsa-mir-6079"
"130","chr1",43838657,43838680,"+","miRNA","MIMAT0023704",MIMAT0023704,"hsa-miR-6079"
"131","chr1",44545493,44545552,"+","miRNA_primary_transcript","MI0019141",MI0019141,"hsa-mir-5584"
"132","chr1",44545493,44545514,"+","miRNA","MIMAT0022283",MIMAT0022283,"hsa-miR-5584-5p"
"133","chr1",44545531,44545552,"+","miRNA","MIMAT0022284",MIMAT0022284,"hsa-miR-5584-3p"
"134","chr1",51059837,51059905,"+","miRNA_primary_transcript","MI0016758",MI0016758,"hsa-mir-4421"
"135","chr1",51059879,51059900,"+","miRNA","MIMAT0018934",MIMAT0018934,"hsa-miR-4421"
"136","chr1",51060018,51060103,"+","miRNA_primary_transcript","MI0022211",MI0022211,"hsa-mir-6500"
"137","chr1",51060031,51060054,"+","miRNA","MIMAT0025454",MIMAT0025454,"hsa-miR-6500-5p"
"138","chr1",51060072,51060092,"+","miRNA","MIMAT0025455",MIMAT0025455,"hsa-miR-6500-3p"
"139","chr1",51836344,51836402,"-","miRNA_primary_transcript","MI0003941",MI0003941,"hsa-mir-761"
"140","chr1",51836375,51836396,"-","miRNA","MIMAT0010364",MIMAT0010364,"hsa-miR-761"
"141","chr1",54054079,54054154,"+","miRNA_primary_transcript","MI0017426",MI0017426,"hsa-mir-4781"
"142","chr1",54054091,54054111,"+","miRNA","MIMAT0019942",MIMAT0019942,"hsa-miR-4781-5p"
"143","chr1",54054124,54054145,"+","miRNA","MIMAT0019943",MIMAT0019943,"hsa-miR-4781-3p"
"144","chr1",55225641,55225723,"+","miRNA_primary_transcript","MI0016759",MI0016759,"hsa-mir-4422"
"145","chr1",55225656,55225676,"+","miRNA","MIMAT0018935",MIMAT0018935,"hsa-miR-4422"
"146","chr1",59733227,59733296,"-","miRNA_primary_transcript","MI0017345",MI0017345,"hsa-mir-4711"
"147","chr1",59733269,59733291,"-","miRNA","MIMAT0019816",MIMAT0019816,"hsa-miR-4711-5p"
"148","chr1",59733235,59733252,"-","miRNA","MIMAT0019817",MIMAT0019817,"hsa-miR-4711-3p"
"149","chr1",61846075,61846176,"+","miRNA_primary_transcript","MI0039734",MI0039734,"hsa-mir-12132"
"150","chr1",61846140,61846161,"+","miRNA","MIMAT0049026",MIMAT0049026,"hsa-miR-12132"
"151","chr1",62078786,62078859,"+","miRNA_primary_transcript","MI0014128",MI0014128,"hsa-mir-3116-1"
"152","chr1",62078830,62078851,"+","miRNA","MIMAT0014978",MIMAT0014978,"hsa-miR-3116"
"153","chr1",62078789,62078856,"-","miRNA_primary_transcript","MI0014129",MI0014129,"hsa-mir-3116-2"
"154","chr1",62078794,62078815,"-","miRNA","MIMAT0014978_1",MIMAT0014978,"hsa-miR-3116"
"155","chr1",63326925,63326984,"-","miRNA_primary_transcript","MI0020345",MI0020345,"hsa-mir-6068"
"156","chr1",63326964,63326984,"-","miRNA","MIMAT0023693",MIMAT0023693,"hsa-miR-6068"
"157","chr1",64579847,64579923,"+","miRNA_primary_transcript","MI0017441",MI0017441,"hsa-mir-4794"
"158","chr1",64579855,64579876,"+","miRNA","MIMAT0019967",MIMAT0019967,"hsa-miR-4794"
"159","chr1",65057755,65057842,"-","miRNA_primary_transcript","MI0016072",MI0016072,"hsa-mir-3671"
"160","chr1",65057762,65057783,"-","miRNA","MIMAT0018094",MIMAT0018094,"hsa-miR-3671"
"161","chr1",65058434,65058508,"-","miRNA_primary_transcript","MI0000103",MI0000103,"hsa-mir-101-1"
"162","chr1",65058477,65058498,"-","miRNA","MIMAT0004513",MIMAT0004513,"hsa-miR-101-5p"
"163","chr1",65058442,65058462,"-","miRNA","MIMAT0000099",MIMAT0000099,"hsa-miR-101-3p"
"164","chr1",66628440,66628517,"+","miRNA_primary_transcript","MI0014130",MI0014130,"hsa-mir-3117"
"165","chr1",66628485,66628505,"+","miRNA","MIMAT0014979",MIMAT0014979,"hsa-miR-3117-3p"
"166","chr1",66628452,66628471,"+","miRNA","MIMAT0019197",MIMAT0019197,"hsa-miR-3117-5p"
"167","chr1",68183518,68183610,"-","miRNA_primary_transcript","MI0006397",MI0006397,"hsa-mir-1262"
"168","chr1",68183576,68183597,"-","miRNA","MIMAT0005914",MIMAT0005914,"hsa-miR-1262"
"169","chr1",71067631,71067716,"-","miRNA_primary_transcript","MI0000483",MI0000483,"hsa-mir-186"
"170","chr1",71067681,71067702,"-","miRNA","MIMAT0000456",MIMAT0000456,"hsa-miR-186-5p"
"171","chr1",71067642,71067663,"-","miRNA","MIMAT0004612",MIMAT0004612,"hsa-miR-186-3p"
"172","chr1",77060143,77060202,"+","miRNA_primary_transcript","MI0023616",MI0023616,"hsa-mir-7156"
"173","chr1",77060143,77060165,"+","miRNA","MIMAT0028222",MIMAT0028222,"hsa-miR-7156-5p"
"174","chr1",77060180,77060202,"+","miRNA","MIMAT0028223",MIMAT0028223,"hsa-miR-7156-3p"
"175","chr1",85133794,85133873,"+","miRNA_primary_transcript","MI0016760",MI0016760,"hsa-mir-4423"
"176","chr1",85133806,85133827,"+","miRNA","MIMAT0019232",MIMAT0019232,"hsa-miR-4423-5p"
"177","chr1",85133842,85133862,"+","miRNA","MIMAT0018936",MIMAT0018936,"hsa-miR-4423-3p"
"178","chr1",86357632,86357687,"-","miRNA_primary_transcript","MI0025526",MI0025526,"hsa-mir-7856"
"179","chr1",86357665,86357685,"-","miRNA","MIMAT0030431",MIMAT0030431,"hsa-miR-7856-5p"
"180","chr1",93846832,93846911,"+","miRNA_primary_transcript","MI0005567",MI0005567,"hsa-mir-760"
"181","chr1",93846880,93846899,"+","miRNA","MIMAT0004957",MIMAT0004957,"hsa-miR-760"
"182","chr1",94543702,94543779,"+","miRNA_primary_transcript","MI0039735",MI0039735,"hsa-mir-12133"
"183","chr1",94543754,94543775,"+","miRNA","MIMAT0049027",MIMAT0049027,"hsa-miR-12133"
"184","chr1",98045242,98045351,"-","miRNA_primary_transcript","MI0012063",MI0012063,"hsa-mir-2682"
"185","chr1",98045307,98045329,"-","miRNA","MIMAT0013517",MIMAT0013517,"hsa-miR-2682-5p"
"186","chr1",98045271,98045292,"-","miRNA","MIMAT0013518",MIMAT0013518,"hsa-miR-2682-3p"
"187","chr1",98046070,98046171,"-","miRNA_primary_transcript","MI0000454",MI0000454,"hsa-mir-137"
"188","chr1",98046091,98046113,"-","miRNA","MIMAT0000429",MIMAT0000429,"hsa-miR-137-3p"
"189","chr1",98046127,98046149,"-","miRNA","MIMAT0037310",MIMAT0037310,"hsa-miR-137-5p"
"190","chr1",100281241,100281308,"+","miRNA_primary_transcript","MI0003558",MI0003558,"hsa-mir-553"
"191","chr1",100281256,100281276,"+","miRNA","MIMAT0003216",MIMAT0003216,"hsa-miR-553"
"192","chr1",107897223,107897304,"+","miRNA_primary_transcript","MI0025522",MI0025522,"hsa-mir-7852"
"193","chr1",107897282,107897303,"+","miRNA","MIMAT0030427",MIMAT0030427,"hsa-miR-7852-3p"
"194","chr1",109598893,109598967,"+","miRNA_primary_transcript","MI0000239",MI0000239,"hsa-mir-197"
"195","chr1",109598940,109598961,"+","miRNA","MIMAT0000227",MIMAT0000227,"hsa-miR-197-3p"
"196","chr1",109598901,109598923,"+","miRNA","MIMAT0022691",MIMAT0022691,"hsa-miR-197-5p"
"197","chr1",112461770,112461833,"-","miRNA_primary_transcript","MI0015855",MI0015855,"hsa-mir-4256"
"198","chr1",112461806,112461823,"-","miRNA","MIMAT0016877",MIMAT0016877,"hsa-miR-4256"
"199","chr1",112882050,112882129,"+","miRNA_primary_transcript","MI0036558",MI0036558,"hsa-mir-11399"
"200","chr1",112882060,112882081,"+","miRNA","MIMAT0044656",MIMAT0044656,"hsa-miR-11399"
"201","chr1",116560024,116560111,"-","miRNA_primary_transcript","MI0016762",MI0016762,"hsa-mir-548ac"
"202","chr1",116560038,116560059,"-","miRNA","MIMAT0018938",MIMAT0018938,"hsa-miR-548ac"
"203","chr1",116671746,116671817,"+","miRNA_primary_transcript","MI0003776",MI0003776,"hsa-mir-320b-1"
"204","chr1",116671787,116671808,"+","miRNA","MIMAT0005792",MIMAT0005792,"hsa-miR-320b"
"205","chr1",117094643,117094728,"+","miRNA_primary_transcript","MI0005767",MI0005767,"hsa-mir-942"
"206","chr1",117094655,117094676,"+","miRNA","MIMAT0004985",MIMAT0004985,"hsa-miR-942-5p"
"207","chr1",117094695,117094716,"+","miRNA","MIMAT0026734",MIMAT0026734,"hsa-miR-942-3p"
"208","chr1",145850587,145850645,"-","miRNA_primary_transcript","MI0022581",MI0022581,"hsa-mir-6736"
"209","chr1",145850620,145850640,"-","miRNA","MIMAT0027373",MIMAT0027373,"hsa-miR-6736-5p"
"210","chr1",145850587,145850607,"-","miRNA","MIMAT0027374",MIMAT0027374,"hsa-miR-6736-3p"
"211","chr1",148334479,148334554,"-","miRNA_primary_transcript","MI0017976",MI0017976,"hsa-mir-5087"
"212","chr1",148334522,148334544,"-","miRNA","MIMAT0021079",MIMAT0021079,"hsa-miR-5087"
"213","chr1",148388282,148388363,"+","miRNA_primary_transcript","MI0020354",MI0020354,"hsa-mir-6077"
"214","chr1",148388294,148388314,"+","miRNA","MIMAT0023702",MIMAT0023702,"hsa-miR-6077"
"215","chr1",150492345,150492410,"+","miRNA_primary_transcript","MI0022725",MI0022725,"hsa-mir-6878"
"216","chr1",150492350,150492372,"+","miRNA","MIMAT0027656",MIMAT0027656,"hsa-miR-6878-5p"
"217","chr1",150492390,150492410,"+","miRNA","MIMAT0027657",MIMAT0027657,"hsa-miR-6878-3p"
"218","chr1",150551929,150552014,"+","miRNA_primary_transcript","MI0015856",MI0015856,"hsa-mir-4257"
"219","chr1",150551987,150552004,"+","miRNA","MIMAT0016878",MIMAT0016878,"hsa-miR-4257"
"220","chr1",151545796,151545891,"+","miRNA_primary_transcript","MI0003559",MI0003559,"hsa-mir-554"
"221","chr1",151545811,151545831,"+","miRNA","MIMAT0003217",MIMAT0003217,"hsa-miR-554"
"222","chr1",153689705,153689793,"-","miRNA_primary_transcript","MI0025919",MI0025919,"hsa-mir-8083"
"223","chr1",153689763,153689783,"-","miRNA","MIMAT0031010",MIMAT0031010,"hsa-miR-8083"
"224","chr1",153962351,153962420,"-","miRNA_primary_transcript","MI0022582",MI0022582,"hsa-mir-6737"
"225","chr1",153962395,153962415,"-","miRNA","MIMAT0027375",MIMAT0027375,"hsa-miR-6737-5p"
"226","chr1",153962351,153962372,"-","miRNA","MIMAT0027376",MIMAT0027376,"hsa-miR-6737-3p"
"227","chr1",154104521,154104592,"-","miRNA_primary_transcript","MI0019305",MI0019305,"hsa-mir-5698"
"228","chr1",154104562,154104583,"-","miRNA","MIMAT0022491",MIMAT0022491,"hsa-miR-5698"
"229","chr1",154193665,154193743,"-","miRNA_primary_transcript","MI0005545",MI0005545,"hsa-mir-190b"
"230","chr1",154193712,154193733,"-","miRNA","MIMAT0004929",MIMAT0004929,"hsa-miR-190b-5p"
"231","chr1",154193676,154193696,"-","miRNA","MIMAT0037332",MIMAT0037332,"hsa-miR-190b-3p"
"232","chr1",154975693,154975783,"+","miRNA_primary_transcript","MI0015857",MI0015857,"hsa-mir-4258"
"233","chr1",154975703,154975719,"+","miRNA","MIMAT0016879",MIMAT0016879,"hsa-miR-4258"
"234","chr1",155195177,155195272,"+","miRNA_primary_transcript","MI0003560",MI0003560,"hsa-mir-92b"
"235","chr1",155195196,155195217,"+","miRNA","MIMAT0004792",MIMAT0004792,"hsa-miR-92b-5p"
"236","chr1",155195237,155195258,"+","miRNA","MIMAT0003218",MIMAT0003218,"hsa-miR-92b-3p"
"237","chr1",155346350,155346445,"-","miRNA_primary_transcript","MI0003561",MI0003561,"hsa-mir-555"
"238","chr1",155346365,155346385,"-","miRNA","MIMAT0003219",MIMAT0003219,"hsa-miR-555"
"239","chr1",155951273,155951336,"-","miRNA_primary_transcript","MI0022583",MI0022583,"hsa-mir-6738"
"240","chr1",155951309,155951331,"-","miRNA","MIMAT0027377",MIMAT0027377,"hsa-miR-6738-5p"
"241","chr1",155951273,155951296,"-","miRNA","MIMAT0027378",MIMAT0027378,"hsa-miR-6738-3p"
"242","chr1",156420341,156420429,"-","miRNA_primary_transcript","MI0000466",MI0000466,"hsa-mir-9-1"
"243","chr1",156420392,156420414,"-","miRNA","MIMAT0000441",MIMAT0000441,"hsa-miR-9-5p"
"244","chr1",156420354,156420375,"-","miRNA","MIMAT0000442",MIMAT0000442,"hsa-miR-9-3p"
"245","chr1",156936131,156936244,"-","miRNA_primary_transcript","MI0005116",MI0005116,"hsa-mir-765"
"246","chr1",156936156,156936176,"-","miRNA","MIMAT0003945",MIMAT0003945,"hsa-miR-765"
"247","chr1",159899979,159900079,"-","miRNA_primary_transcript","MI0015858",MI0015858,"hsa-mir-4259"
"248","chr1",159899989,159900010,"-","miRNA","MIMAT0016880",MIMAT0016880,"hsa-miR-4259"
"249","chr1",161227186,161227261,"+","miRNA_primary_transcript","MI0018166",MI0018166,"hsa-mir-5187"
"250","chr1",161227195,161227216,"+","miRNA","MIMAT0021117",MIMAT0021117,"hsa-miR-5187-5p"
"251","chr1",161227237,161227257,"+","miRNA","MIMAT0021118",MIMAT0021118,"hsa-miR-5187-3p"
"252","chr1",162157107,162157182,"+","miRNA_primary_transcript","MI0017282",MI0017282,"hsa-mir-4654"
"253","chr1",162157116,162157137,"+","miRNA","MIMAT0019720",MIMAT0019720,"hsa-miR-4654"
"254","chr1",162342546,162342640,"+","miRNA_primary_transcript","MI0003562",MI0003562,"hsa-mir-556"
"255","chr1",162342561,162342582,"+","miRNA","MIMAT0003220",MIMAT0003220,"hsa-miR-556-5p"
"256","chr1",162342600,162342621,"+","miRNA","MIMAT0004793",MIMAT0004793,"hsa-miR-556-3p"
